-1.6295742,54.9859116,75
-1.6289665,54.9857223,73
-1.62896,54.98573,73
-1.62819,54.9855,71
-1.62798,54.98544,71
-1.62798,54.98544,71
-1.62745,54.98528,70
-1.62708,54.98517,70
-1.6262,54.98493,69
-1.6253,54.98469,67
-1.62518,54.98465,67
-1.62399,54.98433,66
-1.62322,54.98412,64
-1.62232,54.98387,61
-1.62205,54.9838,61
-1.62106,54.98354,59
-1.6206,54.98342,58
-1.62018,54.98332,57
-1.61967,54.98321,58
-1.61932,54.98314,57
-1.61916,54.98311,57
-1.61878,54.98305,56
-1.61849,54.98301,57
-1.61808,54.98297,57
-1.6178,54.98294,57
-1.61768,54.98293,57
-1.61754,54.98292,57
-1.61718,54.9829,58
-1.61698,54.9829,58
-1.61682,54.9829,58
-1.61654,54.9829,58
-1.61641,54.9829,58
-1.61627,54.9829,56
-1.61619,54.98291,55
-1.6161,54.98291,54
-1.61585,54.98292,53
-1.6157,54.98292,55
-1.61544,54.98294,57
-1.61459,54.983,57
-1.61459,54.983,57
-1.61435,54.98302,57
-1.61417,54.98303,57
-1.614,54.98303,57
-1.6139,54.98304,57
-1.61363,54.98304,56
-1.61346,54.98304,56
-1.61328,54.98304,56
-1.61298,54.98302,54
-1.61283,54.983,51
-1.61208,54.98287,53
-1.61192,54.98283,53
-1.6119,54.98282,53
-1.61187,54.98279,53
-1.61182,54.98278,53
-1.61177,54.98277,53
-1.61167,54.98274,53
-1.61156,54.98272,53
-1.61138,54.98268,53
-1.61099,54.98261,53
-1.61067,54.98251,53
-1.61061,54.9825,53
-1.61017,54.98238,52
-1.60934,54.98211,50
-1.60924,54.98204,50
-1.60901,54.98195,49
-1.60822,54.98161,47
-1.60816,54.98158,48
-1.6079,54.98147,48
-1.60776,54.9814,48
-1.60773,54.98139,47
-1.60759,54.98131,47
-1.60746,54.98125,46
-1.60731,54.98116,46
-1.60716,54.98106,46
-1.60702,54.98096,47
-1.60697,54.98091,47
-1.60674,54.98071,45
-1.6066,54.98057,42
-1.60656,54.98053,42
-1.60652,54.98048,43
-1.60646,54.98042,44
-1.60641,54.98036,45
-1.60612,54.98003,46
-1.60576,54.97961,45
-1.60575,54.97961,45
-1.60564,54.97948,45
-1.60544,54.97921,45
-1.60534,54.97907,44
-1.60531,54.97903,44
-1.60522,54.97889,44
-1.60512,54.9787,43
-1.60509,54.97862,42
-1.60507,54.97856,42
-1.60506,54.97849,42
-1.60506,54.97846,42
-1.60505,54.97842,42
-1.60506,54.97835,41
-1.60507,54.97824,41
-1.60507,54.97822,41
-1.60509,54.97816,41
-1.60516,54.9779,41
-1.6052,54.97783,41
-1.60529,54.97768,40
-1.60543,54.97744,41
-1.60559,54.97713,40
-1.60567,54.97697,40
-1.60569,54.97691,40
-1.60588,54.97651,38
-1.60587,54.97651,38
-1.60588,54.97651,38
-1.60597,54.97629,37
-1.60605,54.97611,36
-1.60625,54.97564,36
